"URL","File Size","Outgoing links Count","Content Type"
"http://www.nydailynews.com/newswires/news/world/airstrikes-is-held-areas-syria-kill-wound-dozens-article-1.3532190","87480","104","text/html;charset=utf-8"
"http://www.nydailynews.com/sports/football/jets","119614","160","text/html;charset=utf-8"
"http://www.nydailynews.com/entertainment/gossip/jim-carrey-sues-ex-girlfriend-ex-husband-lawyer-extortion-article-1.3531405","93568","111","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/fiat","41498","139","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/eye-candy-2018-maserati-ghibli-granlusso-gallery-1.3513592","26931","20","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/gmc","60535","177","text/html;charset=utf-8"
"http://www.nydailynews.com/tags/auto-videos","107238","151","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/news/porsche-innodrive-adaptive-cruise-control-system-2019-cayenne-article-1.3480251","85176","107","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/types/sports-car","75626","241","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/chevrolet","62329","207","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/street-smarts/8-great-traits-2018-volkswagen-atlas-list-article-1.3498265","104518","120","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/toyota","60477","207","text/html;charset=utf-8"
"http://www.nydailynews.com/services/media-kit","23588","54","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/latest-reviews/flash-drive-2018-lincoln-navigator-review-article-1.3509479","100262","119","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/ram","40776","135","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/lexus","53439","178","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/cadillac","45988","149","text/html;charset=utf-8"
"http://www.nydailynews.com/tags/auto-news","107235","157","text/html;charset=utf-8"
"http://www.nydailynews.com/services/careers","24866","14","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/eye-candy-audi-rs-4-avant-gallery-1.3498014","26257","20","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/porsche","39780","129","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/toyota/toyota-camry-2018-1.2896184","37961","116","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/types/diesel","54587","178","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/street-smarts/8-great-traits-2018-subaru-outback-list-article-1.3513375","104921","120","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/news/2020-mercedes-benz-glc-f-cell-hydrogen-electric-suv-preview-article-1.3492863","95537","121","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/mazda/mazda-cx-9-2017-1.3011261","36647","112","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/news/ford-virginia-tech-transit-van-self-driving-disguise-video-article-1.3506762","84114","105","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/types/convertible","78046","241","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/types/crossover","145374","499","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/smart","30199","103","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/news/jaguar-electric-sports-cars-article-1.3524785","83682","106","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/2017-bmw-i8-photos-gallery-1.3525200","26389","20","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/nissan","61351","207","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/audi","61733","207","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/mitsubishi","37577","123","text/html;charset=utf-8"
"http://www.nydailynews.com/services/sitemap","110382","121","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/scion","31175","105","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/latest-reviews/flash-drive-2019-genesis-g70-sport-review-article-1.3505981","95219","115","text/html;charset=utf-8"
"http://www.nydailynews.com/services","39106","60","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/latest-reviews/ratings-review-2017-cadillac-cts-article-1.3511360","116716","121","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/news/toyota-announces-first-ever-hybrid-production-u-s-article-1.3527628","84651","104","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/acura","44287","141","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/news/2018-land-rover-discovery-td6-diesel-australian-road-train-video-article-1.3509274","85017","111","text/html;charset=utf-8"
"http://www.nydailynews.com/services/privacy-policy","116283","106","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/types/wagon","64455","203","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/dodge","49875","161","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/lincoln","42483","137","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/types/luxury","168323","589","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/street-smarts/8-important-decisions-buying-new-car-article-1.2558671","104481","117","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/street-smarts/what-is-fair-app-leasing-used-cars-by-payment-article-1.3489469","95805","108","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/honda/honda-odyssey-2018-1.2948175","36943","112","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/news/video-2018-volkswagen-atlas-virtual-cockpit-infotainment-system-article-1.3454927","84768","113","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/news/video-2018-land-rover-discovery-sport-races-dog-sled-team-article-1.3442023","83847","109","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/first-pictures-2019-genesis-g70-gallery-1.3497880","26335","20","text/html;charset=utf-8"
"http://www.nydailynews.com/services/feeds","72443","176","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/gallery-2019-mercedes-benz-s560e-sedan-photos-gallery-1.3511660","27238","20","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/street-smarts/what-is-nissan-propilot-assist-article-1.3474817","91362","112","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/types/suv","143504","500","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/news/ford-debuts-f-series-super-duty-limited-article-1.3528205","85652","113","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/chrysler","40634","131","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/news/toyota-steps-hybrids-tesla-cuts-base-model-s-article-1.3528397","91065","117","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/news/kia-niro-amazon-alexa-skill-app-smartphone-technology-article-1.3449330","84067","113","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/news/2018-volvo-xc40-safety-technology-video-article-1.3474621","84494","111","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/gallery-2017-daily-news-autos-awards-recommended-models-gallery-1.3098486","26871","20","text/html;charset=utf-8"
"http://www.nydailynews.com/services/mobile","9973","33","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/news/opinion-mitsubishi-e-evolution-concept-continues-dangerous-trend-article-1.3508825","90092","112","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/buick","45770","149","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/latest-reviews/first-drive-2018-lexus-ls-review-article-1.3522391","102838","116","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/street-smarts/buying-car-smart-article-1.2542710","93975","110","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/volkswagen","55625","183","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/news/tesla-discontinues-model-s-base-trim-article-1.3527792","85669","105","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/types/cpo","162124","503","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/news/opinion-genesis-brand-future-korean-culture-article-1.3525149","92425","110","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/jeep","54311","175","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/news/ford-integrate-autonomous-cars-lyft-network-article-1.3524661","82774","108","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/gallery-2018-toyota-rav4-adventure-photos-gallery-1.3506281","26776","20","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/news/bmw-mini-alexa-connectivity-nissan-2018-armada-article-1.3511362","88403","113","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/latest-reviews/2018-kia-niro-hybrid-short-report-article-1.3514292","102899","119","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/types/hybrid","58770","191","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/awards/daily-news-autos-awards-what-is-the-best-car-article-1.3012888","93985","127","text/html;charset=utf-8"
"http://www.nydailynews.com/services/contact-us","98410","100","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/mercedes-benz","63724","207","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/subaru","52012","171","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/volvo","40273","133","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/bmw","60915","207","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/types/sedan","174683","600","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/awards","99258","236","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/street-smarts/how-to-avoid-buying-flood-damaged-car-article-article-1.2760168","95535","110","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/types/minivan","47650","145","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/genesis","29396","101","text/html;charset=utf-8"
